Charter;Name;Owner;Population;Unemployment;GDP;GDP per capita;rrr;Type;Civilization;Race;Capitol;Founded;Independence;Atmosphere stage;Mother colony relations;Xcoord;Ycoord;Sector;Platform;CW size;Mother Colony Charter;Region
0dQdfuxi8z;Mars Empire;fatherless6;161999;73;2284125739;14100;1;Red Planet;United Earth;Human;1;2023-04-05 00:00:00;2023-04-13 00:00:00;4;123;509;864;0/-1;android.gplay;0;earth;0
15dRuMHX9e;15dRuMHX9e;Praseodymix;72287;13;4000198504;55338;3;Earthlike;United Earth;Human;1;2022-11-29 00:00:00;2023-01-15 00:00:00;3;123;-371;-897;0/1;steam.windows;0;W5vu9ayLfB;1
1hqKVTEQps;dehydrated milk;Wasntnt;4591;13;8251649;1797;0;Earthlike;United Earth;Human;0;2023-05-06 00:00:00;;3;123;-878;-961;0/1;web.apewebapps;0;O3nICzlE4z;0
1UUQSnejYQ;PrometheusZ99;Shwagne;69188;18;4267236848;61676;1;Abandoned World;League of Independent States;Human;1;2023-04-06 00:00:00;2023-04-15 00:00:00;4;123;-188;273;-1/-2;android.gplay;0;qKAH6qPEbK;0
2pnXxRztRW;Lampshade;Mycolony;63158;35;46058650574;729261;12;Abandoned World;Alpha Draconians;Reptilian;1;2022-03-30 00:00:00;2022-04-08 00:00:00;4;123;-857;971;106/-87;android.gplay;0;draconian;0
3HnivmPCgl;Presque Isle prime;Niconation;3947;15;8756297;2218;0;Earthlike;United Earth;Human;0;2023-05-10 00:00:00;;3;123;-271;-203;114/25;android.gplay;0;uO9Pewe1Uv;0
3jmZEMTn;russias robot factory not infested with crystaline;Humanperson;235939;76;29231297340;123893;1;Earthlike;United Earth;Human;1;2022-07-06 00:00:00;2022-07-07 00:00:00;4;123;-865;832;103/-27;android.gplay;0;earth;1
4iM1QmhGcV;German;Leben;73783;3;1801102441;24411;0;Lunar;United Earth;Human;1;2023-04-29 00:00:00;2023-05-09 00:00:00;4;123;43;141;0/0;android.gplay;0;earth;1
4XrQOrG3KS;Nirvana;MrDaddy;96213;2;734182385;7631;0;Red Planet;United Earth;Human;0;2023-05-12 00:00:00;;4;123;193;246;0/1;web.apewebapps;0;hz22MAQlHN;1
5NQPth1NpX;Jeepia;Phater;31827;4;628847781;19758;4;Red Planet;United Earth;Human;1;2023-04-06 00:00:00;2023-04-29 00:00:00;4;123;544;220;0/0;android.gplay;1;hz22MAQlHN;0
62eno5BTUW;B-wald;Berni88;2634;0;8226751;3123;0;Forest World;United Earth;Human;0;2023-04-19 00:00:00;;3;123;-966;-416;0/0;android.gplay;0;8J6fDuiX;0
63fyZjOLoL;?;Mctibi2;18355;19;95061473;5179;0;Earthlike;United Earth;Human;1;2023-05-06 00:00:00;2023-05-10 00:00:00;3;123;-534;-271;1/0;web.apewebapps;0;J2XFdln90X;0
