Charter;Name;Owner;Population;Unemployment;GDP;GDP per capita;rrr;Type;Civilization;Race;Capitol;Founded;Independence;Atmosphere stage;Mother colony relations;Xcoord;Ycoord;Sector;Platform;CW size;Mother Colony Charter;Region
03ZhBpT30T;Da Bois;CryogenicCoyote;87437;64;3099691855;35451;0;Red Planet;United Earth;Human;1;2022-07-19 00:00:00;2023-03-24 00:00:00;4;123;-540;191;0/0;steam.windows;0;earth;1
04aQvfQucM;Hardcore ;Djbside;19;42;95116;5006;0;Forest World;United Earth;Human;0;2022-12-22 00:00:00;;3;123;497;471;51/-39;ios.appstore;0;6uHQ4QwvB8;1
04SiSDwq50;miminuar5;miminuar;1856003;14;496978804143221;267768319;0;Ice World;Zolarg Empire;Insectoids;1;2022-04-03 00:00:00;2022-04-10 00:00:00;4;123;-782;682;104/-86;android.apemarket;0;zolarg;1
06kLcBZLI5;Hard ass planet;crazycochon;2045;0;12983298;6349;0;Forest World;United Earth;Human;0;2022-02-19 00:00:00;;3;;-929;-35;55/-45;steam.windows;0;;1
06wwjf4wj9;First;zwforlife;41;4;108700;2651;0;Red Planet;United Earth;Human;0;2023-01-10 00:00:00;;0;123;485;-280;0/1;ios.appstore;0;hz22MAQlHN;0
07ChODyVof;Sla;S0RA;91512;13;19519281431;213298;0;Red Planet;United Earth;Human;1;2021-10-25 00:00:00;2021-11-19 00:00:00;4;;234;-461;-4/-88;steam.windows;0;;0
08wmki7UWJ;Vonda;Valek005;134;0;683296;5099;0;Earthlike;United Earth;Human;0;2023-01-14 00:00:00;;4;123;801;48;97/-8;android.gplay;0;6b3dbnNw;1
0aPgyuLu;Sugar Nuisance;Wlof;11226;4;139028960;12385;0;Abandoned World;League of Independent States;Human;1;2018-03-06 00:00:00;2018-03-11 00:00:00;4;;-270;322;6/-79;android.gplay;0;;0
0bh2dh3udC;Doofania Metrocity;SherlocktheKnower;19713;10;79372007;4026;3;Earthlike;United Earth;Human;1;2023-03-09 00:00:00;2023-03-17 00:00:00;4;123;681;878;51/-39;android.gplay;0;2rCoai7i2p;1
0CIwPONgiU;Funkanda;IronMonkey;2366;0;2926357;1237;0;Earthlike;United Earth;Human;0;2022-12-24 00:00:00;;3;123;563;-946;0/1;windows.windowsstore;0;zmZZGD4dZS;0
0DNLxODbni;Freedmoon origin (FFF);Freedmoon;50770;87;33887061;667;0;Lunar;United Earth;Human;0;2017-09-16 00:00:00;;3;;1;-987;21/-66;web.apewebapps;0;;0
0dOlOw4kAN;New Haven;DrDopps;416237;16;25696283911;61735;0;Red Planet;United Earth;Human;1;2023-03-12 00:00:00;2023-03-16 00:00:00;4;123;446;-225;0/1;desktop.windows;0;hz22MAQlHN;0
0EQaPKNgI3;Lunaria;Casper;5266;0;82768805;15718;1;Lunar;United Earth;Human;1;2020-12-19 00:00:00;2022-12-29 00:00:00;3;123;336;114;0/0;android.gplay;0;earth;1
0f8FfTX6BQ;Trey;Xsicer;10;0;133230;13323;0;Red Planet;United Earth;Human;1;2023-01-20 00:00:00;;1;100;-649;-438;4/-91;steam.windows;0;exaf9IKgZ4;1
0FoaofB9ZP;Zentrum;Koska;3191;0;5746110;1801;0;Red Planet;United Earth;Human;1;2023-01-28 00:00:00;;2;46;-183;145;23/-28;steam.windows;0;UmlelU0qMp;1
0fQnggGXT6;I dont know;S0RA;231911;9;103645085899;446918;0;Red Planet;United Earth;Human;1;2018-09-06 00:00:00;2021-12-05 00:00:00;4;;-453;-335;95/11;steam.windows;0;;0
0fsN9rEZpy;Gregorianos;Eldiego369;233;0;494944;2124;0;Earthlike;United Earth;Human;0;2023-03-19 00:00:00;;3;123;871;-88;-1/1;ios.appstore;0;zYCNAOutSi;1
0GW6U6hG;PAsty;ferchador;287298;65;14466444306629;50353446;2;Sugarland;Zolarg Empire;Insectoids;1;2017-05-04 00:00:00;2017-05-12 00:00:00;3;100;94;872;104/-87;web.apewebapps;0;zolarg;0
0h3E0mzKFE;New Zolarg World;Rifa335;4;25;17900;4475;0;Sugarland;Zolarg Empire;Insectoids;0;2022-11-30 00:00:00;;3;100;22;-746;104/-86;steam.windows;0;JQKzmKuO;1
0H7a6Kqv1X;Moonbase;garmeac;183632;4;325520839599;1772680;0;Lunar;United Earth;Human;1;2021-07-12 00:00:00;2021-10-27 00:00:00;4;123;888;603;0/0;desktop.windows;0;earth;0
0HD0C18yaq;Mars Five;usbrit72;4045;37;5005414;1237;0;Red Planet;United Earth;Human;0;2022-11-28 00:00:00;;1;123;572;-419;0/1;web.apewebapps;0;uovgjkPi;0
0hxPNzRADJ;New Strelitzia;xXD3omegaXx;2926937;0;3819758152437018;1305035999;2;Red Planet;United Earth;Human;1;2021-09-16 00:00:00;2021-09-20 00:00:00;4;;-438;-826;105/-65;android.gplay;0;;1
0hZgBkjn;Domination;bastecklein;1053603;24;1003669899540;952607;5;Red Planet;United Earth;Human;1;2017-04-08 00:00:00;2017-04-19 00:00:00;4;;639;-61;75/-79;desktop.mac;0;;0
0IxNDeDTBQ;Alpha one;Rollo95;8868;10;119160482;13437;0;Earthlike;United Earth;Human;1;2023-02-03 00:00:00;2023-02-08 00:00:00;3;123;-530;-919;0/1;android.gplay;0;earth;1
0mLu2FAZi3;Trash;Logfrog;19807;9;220563395;11136;0;Earthlike;United Earth;Human;1;2022-12-26 00:00:00;2022-12-30 00:00:00;3;123;-283;-896;0/1;ios.appstore;0;earth;0
0NBjPVUouZ;findex;findex7593;7492;0;23448545;3130;0;Red Planet;United Earth;Human;0;2023-03-01 00:00:00;;0;123;520;399;0/1;web.apewebapps;0;hz22MAQlHN;0
0p4MrFeFpj;clover;greensleeves1;4509;0;13402841;2972;0;Red Planet;United Earth;Human;0;2023-01-09 00:00:00;;2;123;-582;-715;1/0;steam.windows;0;DyMiwE4N;1
0RMkZWRIvI;Red 1;Denight1010;4327;0;0;0;0;Red Planet;United Earth;Human;0;2022-12-02 00:00:00;;2;123;779;-367;103/-4;steam.windows;0;haOuhwzw71;1
0sOPyyi76j;The Divine Comedy;Blacklightning794;1058;0;2773383;2621;0;Lunar;United Earth;Human;0;2023-01-24 00:00:00;;0;123;36;820;0/1;desktop.windows;0;NUrdW7SznK;1
0ThCgacBrA;Abundance;ezshark9593;132695;17;3942356452;29710;6;Earthlike;United Earth;Human;1;2022-07-25 00:00:00;2022-08-08 00:00:00;4;;-766;-762;18/-71;android.gplay;0;;0
0u2HHPOvGw;DAGGER MOONBASE;Dagger;20;29;38176;1909;0;Lunar;United Earth;Human;0;2023-02-20 00:00:00;;0;123;-737;813;11/-49;android.gplay;0;9zE4XG3a6U;0
0U7uKxbVoK;Shadnur;Blackstar8;32;0;218269;6821;0;Earthlike;United Earth;Human;0;2023-01-28 00:00:00;;3;100;883;804;-1/0;web.apewebapps;0;IvwKkU5khK;1
0uaoFzkN;117;NotAsadGopnik;36675;3;22255087497;606819;0;Red Planet;United Earth;Human;1;2022-04-02 00:00:00;2022-07-26 00:00:00;4;123;-190;-847;73/-10;steam.windows;0;earth;0
0UCZZ3cKlu;Santiago;RemyMartin007;586224;18;1136057970171;1937925;1;Earthlike;United Earth;Human;1;2021-01-22 00:00:00;2021-02-06 00:00:00;4;;760;-406;20/-57;windows.windowsstore;0;;0
0Ui99nZpCh;[EUSCAS] Silent Depths;Equinox0;1988252;7;2608463462124479000;1311938055198;4;Red Planet;United Earth;Human;1;2023-02-17 00:00:00;2023-02-17 00:00:00;4;123;-697;-5;0/1;web.apewebapps;0;NUrdW7SznK;0
0uZvg1nWNh;1st;mathew2802;19147;9;231119999;12071;0;Earthlike;United Earth;Human;0;2023-02-24 00:00:00;;3;123;782;877;0/0;android.gplay;0;zmZZGD4dZS;0
0v3pfdIBtL;Landing;Ultra;16764;7;48877538;2916;0;Red Planet;United Earth;Human;0;2023-01-07 00:00:00;;3;123;-998;721;0/1;desktop.windows;0;FkVlb8M80o;0
0xIYLncU;Vacation;Deadbeatz;199411;10;30327591760;152086;0;Earthlike;United Earth;Human;1;2022-08-20 00:00:00;2022-08-31 00:00:00;4;123;-995;-959;1/0;android.gplay;0;OX2eC2i9;0
0YGd5qM0V7;Zentrum;Koska;2789;44;1809056;649;0;Red Planet;United Earth;Human;0;2023-01-31 00:00:00;;1;123;-441;-944;0/23;steam.windows;0;UmlelU0qMp;1
0YNp3fJE1E;My Colony;123gazdm123;9588;8;31497438;3285;0;Red Planet;United Earth;Human;1;2022-12-23 00:00:00;2022-12-31 00:00:00;3;123;845;781;-1/1;ios.appstore;0;IjXZjL1sSn;0
0YsRsX7NUE;Jazzz;Mstarspace;4409;3;8855498;2009;0;Red Planet;United Earth;Human;0;2023-01-01 00:00:00;;2;123;-822;-530;1/0;ios.appstore;0;QFWw1kVhlP;0
10Ycv8UHPC;Aethelhome;jasperjester;2245;0;2502449;1115;0;Red Planet;United Earth;Human;0;2023-02-14 00:00:00;;0;123;-361;-520;0/0;steam.windows;0;earth;1
11ySxbCaAn;Earthlings;Toybonnie1756;5;0;66006;13201;0;Earthlike;United Earth;Human;0;2022-12-01 00:00:00;;3;123;-749;-149;0/0;ios.appstore;0;8J6fDuiX;0
13CirURbYW;Struggle;Stoney;54;33;344949;6388;0;Ice World;League of Independent States;Human;0;2023-01-18 00:00:00;;0;123;-580;1000;0/-2;android.gplay;0;VAAVvLtD6I;1
